A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode 1291/10000 - Total Reward: 75.00
Episode 1292/10000 - Total Reward: 175.00
Episode 1293/10000 - Total Reward: 170.00
Episode 1294/10000 - Total Reward: 120.00
Episode 1295/10000 - Total Reward: 120.00
Episode 1296/10000 - Total Reward: 185.00
Episode 1297/10000 - Total Reward: 435.00
Episode 1298/10000 - Total Reward: 180.00
Episode 1299/10000 - Total Reward: 80.00
Episode 1300/10000 - Total Reward: 210.00
Episode 1301/10000 - Total Reward: 75.00
Episode 1302/10000 - Total Reward: 455.00
Episode 1303/10000 - Total Reward: 525.00
Episode 1304/10000 - Total Reward: 460.00
Episode 1305/10000 - Total Reward: 230.00
Episode 1306/10000 - Total Reward: 365.00
Episode 1307/10000 - Total Reward: 290.00
Episode 1308/10000 - Total Reward: 75.00
Episode 1309/10000 - Total Reward: 105.00
Episode 1310/10000 - Total Reward: 225.00
Episode 1311/10000 - Total Reward: 210.00
Episode 1312/10000 - Total Reward: 150.00
Episode 1313/10000 - Total Reward: 120.00
Episode 1314/10000 - Total Reward: 305.00
Episode 1315/10000 - Total Reward: 105.00
Episode 1316/10000 - Total Reward: 120.00
Episode 1317/10000 - Total Reward: 230.00
Episode 1318/10000 - Total Reward: 110.00
Episode 1319/10000 - Total Reward: 165.00
Episode 1320/10000 - Total Reward: 435.00
Episode 1321/10000 - Total Reward: 385.00
Episode 1322/10000 - Total Reward: 110.00
Episode 1323/10000 - Total Reward: 110.00
Episode 1324/10000 - Total Reward: 185.00
Episode 1325/10000 - Total Reward: 75.00
Episode 1326/10000 - Total Reward: 535.00
Episode 1327/10000 - Total Reward: 165.00
Episode 1328/10000 - Total Reward: 455.00
Episode 1329/10000 - Total Reward: 615.00
Episode 1330/10000 - Total Reward: 110.00
Episode 1331/10000 - Total Reward: 50.00
Episode 1332/10000 - Total Reward: 180.00
Episode 1333/10000 - Total Reward: 105.00
Episode 1334/10000 - Total Reward: 495.00
Episode 1335/10000 - Total Reward: 480.00
Episode 1336/10000 - Total Reward: 180.00
Episode 1337/10000 - Total Reward: 105.00
Episode 1338/10000 - Total Reward: 235.00
Episode 1339/10000 - Total Reward: 105.00
Episode 1340/10000 - Total Reward: 130.00
Episode 1341/10000 - Total Reward: 120.00
Episode 1342/10000 - Total Reward: 125.00
Episode 1343/10000 - Total Reward: 105.00
Episode 1344/10000 - Total Reward: 75.00
Episode 1345/10000 - Total Reward: 140.00
Episode 1346/10000 - Total Reward: 150.00
